population_group,measure,location,sex,age,metric,year,val,upper,lower
All Population,Life table,Equatorial Guinea,Male,35-39 years,Probability of death,2023,0.05110562191535724,0.06566227092041346,0.03990104236684346
All Population,Life table,Equatorial Guinea,Female,35-39 years,Probability of death,2023,0.04588848437653268,0.05918186397428397,0.035681647090494435
All Population,Life table,Equatorial Guinea,Male,40-44 years,Probability of death,2023,0.06614841958311508,0.08341885076797571,0.05098323403648437
All Population,Life table,Equatorial Guinea,Female,40-44 years,Probability of death,2023,0.05553674601902604,0.06947485866614007,0.043267896367999686
All Population,Life table,Equatorial Guinea,Male,45-49 years,Probability of death,2023,0.07393832731736966,0.0922600213686501,0.05835851481136668
All Population,Life table,Equatorial Guinea,Female,45-49 years,Probability of death,2023,0.060477450571564874,0.07467847782769578,0.04727513917216036
All Population,Life table,Equatorial Guinea,Male,50-54 years,Probability of death,2023,0.0958956874119787,0.11884961088090035,0.07592549110730697
All Population,Life table,Equatorial Guinea,Female,50-54 years,Probability of death,2023,0.06614481478471673,0.0830248614599027,0.051873395164650955
All Population,Life table,Equatorial Guinea,Male,55-59 years,Probability of death,2023,0.11934359101161807,0.148428858951468,0.09455171281310941
All Population,Life table,Equatorial Guinea,Female,55-59 years,Probability of death,2023,0.07310684741719879,0.09208946323199768,0.05685105812514892
All Population,Life table,Equatorial Guinea,Male,60-64 years,Probability of death,2023,0.16194963285829098,0.2047355789330093,0.12800532169490736
All Population,Life table,Equatorial Guinea,Female,60-64 years,Probability of death,2023,0.09420739831098847,0.1175511029969096,0.07341864125359278
All Population,Life table,Djibouti,Male,60-64 years,Probability of death,2023,0.09525710143693468,0.11942259495843109,0.07354431821639508
All Population,Life table,Djibouti,Female,60-64 years,Probability of death,2023,0.06817442564565349,0.0866756294774004,0.05267258673856418
All Population,Life table,Djibouti,Male,65-69 years,Probability of death,2023,0.12789172789837244,0.16115309029230113,0.09900360146253204
All Population,Life table,Djibouti,Female,65-69 years,Probability of death,2023,0.09333701386980232,0.11700230284693336,0.07307498620407513
All Population,Life table,Djibouti,Male,70-74 years,Probability of death,2023,0.1778770936146449,0.22021129489230962,0.14126289035046022
All Population,Life table,Djibouti,Female,70-74 years,Probability of death,2023,0.13908403088160728,0.17138539290780982,0.11157888631215077
All Population,Life table,Djibouti,Male,75-79 years,Probability of death,2023,0.2582479262254543,0.3173626747416314,0.20651655228778093
All Population,Life table,Djibouti,Female,75-79 years,Probability of death,2023,0.21751805750139977,0.26714215872923314,0.17284174828093823
All Population,Life table,Djibouti,Male,80-84 years,Probability of death,2023,0.3199162897122764,0.3862943712083527,0.2616143316640005
All Population,Life table,Djibouti,Female,80-84 years,Probability of death,2023,0.28347157225103325,0.3416128583702101,0.22651707848121053
All Population,Life table,Djibouti,Male,85-89 years,Probability of death,2023,0.4459060628605855,0.5308183854572637,0.37415693623850615
All Population,Life table,Djibouti,Female,85-89 years,Probability of death,2023,0.42243821398399617,0.5040716350183213,0.34565009228711574
All Population,Life table,Djibouti,Male,90-94 years,Probability of death,2023,0.526167101782329,0.6165327432608688,0.4416505106384498
All Population,Life table,Djibouti,Female,90-94 years,Probability of death,2023,0.4894822360512775,0.5735657186200778,0.4018024667745007
All Population,Life table,Democratic People's Republic of Korea,Male,80-84 years,Probability of death,2023,0.4564257617713262,0.5523595468852203,0.3678372554055535
All Population,Life table,Democratic People's Republic of Korea,Female,80-84 years,Probability of death,2023,0.4016971472103292,0.49406145120369516,0.32219316652286156
All Population,Life table,Democratic People's Republic of Korea,Male,85-89 years,Probability of death,2023,0.5925895800296813,0.6955707291154979,0.494456375481661
All Population,Life table,Democratic People's Republic of Korea,Female,85-89 years,Probability of death,2023,0.5544391808461616,0.6532478284824789,0.4550414827090946
All Population,Life table,Democratic People's Republic of Korea,Male,90-94 years,Probability of death,2023,0.6750356888681136,0.7824320157793319,0.5608901721377827
All Population,Life table,Democratic People's Republic of Korea,Female,90-94 years,Probability of death,2023,0.6737286598757,0.7793315862658486,0.5703234016879218
All Population,Life table,Democratic People's Republic of Korea,Male,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Democratic People's Republic of Korea,Female,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Lao People's Democratic Republic,Male,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Lao People's Democratic Republic,Female,95+ years,Probability of death,2023,1.0,1.0,1.0
All Population,Life table,Malaysia,Male,10-14 years,Probability of death,2023,0.0011354238681078974,0.0014542974277174019,0.0008738655262211098
All Population,Life table,Malaysia,Female,10-14 years,Probability of death,2023,0.0009564605328382976,0.001239764146615874,0.0007381035577979228
